国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,4,13211,小平市,-161,-65,887,952,-29,819,848,-110,81,191,43,-105
総数,4,13212,日野市,322,194,971,777,180,856,676,-107,87,194,55,309
総数,4,13213,東村山市,-16,43,578,535,23,411,388,-90,67,157,8,-53
総数,4,13214,国分寺市,377,353,901,548,65,648,583,-64,43,107,23,289
総数,4,13215,国立市,76,155,495,340,-53,378,431,-44,32,76,18,87
総数,4,13218,福生市,-20,4,265,261,-37,230,267,-33,23,56,46,71
総数,4,13219,狛江市,91,156,473,317,-60,264,324,-32,37,69,27,77
総数,4,13220,東大和市,-14,9,204,195,5,252,247,-39,35,74,11,-21
総数,4,13221,清瀬市,69,108,359,251,3,245,242,-66,33,99,24,49
総数,4,13222,東久留米市,38,40,382,342,28,354,326,-61,55,116,31,-2
総数,4,13223,武蔵村山市,-98,-41,211,252,-32,198,230,-48,16,64,23,-123
総数,4,13224,多摩市,220,211,653,442,38,526,488,-85,45,130,56,173
総数,4,13225,稲城市,146,150,450,300,-28,254,282,-12,61,73,36,119
総数,4,13227,羽村市,-191,-21,147,168,-138,125,263,-36,18,54,4,-128
総数,4,13228,あきる野市,-30,-4,165,169,24,251,227,-65,24,89,15,-56
総数,4,13229,西東京市,146,237,1037,800,-71,664,735,-119,71,190,99,127
総数,1,13550,町村部,-704,-153,187,340,-454,320,774,-97,19,116,0,-710
総数,2,13300,郡部,-22,13,108,95,31,195,164,-70,12,82,4,-42
総数,4,13303,瑞穂町,9,5,73,68,33,126,93,-30,8,38,1,-9
総数,4,13305,日の出町,-24,7,31,24,-4,44,48,-28,3,31,1,-24
総数,4,13307,檜原村,-3,0,1,1,-2,3,5,-1,0,1,0,-3
総数,4,13308,奥多摩町,-4,1,3,2,4,22,18,-11,1,12,2,-6
総数,2,13350,島部,-682,-166,79,245,-485,125,610,-27,7,34,-4,-668
総数,3,13360,大島支庁,-312,-72,23,95,-213,72,285,-20,3,23,-7,-301
総数,4,13361,大島町,-212,-43,18,61,-151,46,197,-15,3,18,-3,-202
総数,4,13362,利島村,-23,-5,2,7,-18,0,18,0,0,0,0,-22
総数,4,13363,新島村,-41,-15,1,16,-21,11,32,0,0,0,-5,-40
総数,4,13364,神津島村,-36,-9,2,11,-23,15,38,-5,0,5,1,-37
総数,3,13380,三宅支庁,-95,-16,9,25,-79,11,90,-2,0,2,2,-97
総数,4,13381,三宅村,-85,-14,7,21,-71,11,82,-2,0,2,2,-87
